# x and average y for the best solution found, chi=0.062340
#  q       exp_intensity   weighted_intensity
0.138340 0.105242 0.099195
0.138940 0.104595 0.097855
0.139550 0.103019 0.096509
0.140160 0.103168 0.095167
0.140770 0.101145 0.093831
0.141380 0.097965 0.092504
0.141980 0.096093 0.091204
0.142590 0.093948 0.089901
0.143200 0.095239 0.088601
0.143810 0.094719 0.087308
0.144420 0.091938 0.086031
0.145020 0.089638 0.084782
0.145630 0.088883 0.083525
0.146240 0.086630 0.082276
0.146850 0.085566 0.081037
0.147460 0.083236 0.079816
0.148060 0.082255 0.078623
0.148670 0.080695 0.077423
0.149280 0.080089 0.076234
0.149890 0.079261 0.075056
0.150500 0.078575 0.073897
0.151100 0.076752 0.072765
0.151710 0.077633 0.071632
0.152320 0.075156 0.070510
0.152930 0.073635 0.069399
0.153540 0.072294 0.068311
0.154150 0.070752 0.067232
0.154750 0.070482 0.066186
0.155360 0.069385 0.065138
0.155970 0.067798 0.064101
0.156580 0.065474 0.063084
0.157180 0.065405 0.062092
0.157790 0.063532 0.061101
0.158400 0.062344 0.060129
0.159010 0.062339 0.059166
0.159620 0.060861 0.058225
0.160230 0.060293 0.057293
0.160830 0.059086 0.056393
0.161440 0.057818 0.055496
0.162050 0.057042 0.054609
0.162660 0.056035 0.053741
0.163260 0.053390 0.052899
0.163870 0.054215 0.052059
0.164480 0.052204 0.051236
0.165090 0.051267 0.050421
0.165700 0.050745 0.049627
0.166310 0.048849 0.048846
0.166910 0.047928 0.048090
0.167520 0.047173 0.047339
0.168130 0.047288 0.046596
0.168740 0.046735 0.045874
0.169340 0.045987 0.045174
0.169950 0.045421 0.044473
0.170560 0.044761 0.043792
0.171170 0.042830 0.043119
0.171780 0.042186 0.042463
0.172390 0.041365 0.041821
0.172990 0.040721 0.041195
0.173600 0.041009 0.040583
0.174210 0.039668 0.039977
0.174820 0.039186 0.039382
0.175420 0.038684 0.038813
0.176030 0.037049 0.038242
0.176640 0.036868 0.037689
0.177250 0.036109 0.037144
0.177860 0.035854 0.036610
0.178470 0.034580 0.036092
0.179070 0.034728 0.035590
0.179680 0.033730 0.035093
0.180290 0.034040 0.034606
0.180900 0.034025 0.034131
0.181510 0.032740 0.033667
0.182110 0.031560 0.033218
0.182720 0.031026 0.032776
0.183330 0.032073 0.032343
0.183940 0.030852 0.031916
0.184550 0.030542 0.031506
0.185150 0.030374 0.031107
0.185760 0.030000 0.030711
0.186370 0.029385 0.030326
0.186980 0.029237 0.029946
0.187590 0.029334 0.029582
0.188190 0.028806 0.029228
0.188800 0.027962 0.028877
0.189410 0.027634 0.028536
0.190020 0.027128 0.028199
0.190630 0.027055 0.027875
0.191230 0.027595 0.027561
0.191840 0.026731 0.027249
0.192450 0.026423 0.026947
0.193060 0.026192 0.026648
0.193670 0.025897 0.026360
0.194270 0.025116 0.026081
0.194880 0.024094 0.025804
0.195490 0.023004 0.025534
0.196100 0.022913 0.025269
0.196710 0.022575 0.025011
0.197310 0.023673 0.024763
0.197920 0.022771 0.024516
0.198530 0.022720 0.024276
0.199140 0.022300 0.024040
0.199750 0.022422 0.023810
0.200350 0.022768 0.023588
0.200960 0.021952 0.023366
0.201570 0.021756 0.023152
0.202180 0.021080 0.022941
0.202790 0.021697 0.022735
0.203390 0.020924 0.022536
0.204000 0.021573 0.022337
0.204610 0.020898 0.022145
0.205220 0.020780 0.021955
0.205830 0.020394 0.021769
0.206430 0.020122 0.021591
0.207040 0.021151 0.021412
0.207650 0.020817 0.021239
0.208260 0.019805 0.021068
0.208870 0.019733 0.020902
0.209470 0.019119 0.020742
0.210080 0.018547 0.020580
0.210690 0.018508 0.020423
0.211300 0.017767 0.020269
0.211910 0.018214 0.020118
0.212510 0.018670 0.019973
0.213120 0.017814 0.019828
0.213730 0.019396 0.019686
0.214340 0.019436 0.019547
0.214950 0.019140 0.019410
0.215550 0.018983 0.019279
0.216160 0.018353 0.019147
0.216770 0.018418 0.019019
0.217380 0.017831 0.018893
0.217990 0.018874 0.018769
0.218590 0.018225 0.018649
0.219200 0.018439 0.018530
0.219810 0.017978 0.018413
0.220420 0.017333 0.018298
0.221020 0.017011 0.018186
0.221630 0.016859 0.018077
0.222240 0.016586 0.017968
0.222850 0.016415 0.017861
0.223460 0.017378 0.017756
0.224060 0.017569 0.017655
0.224670 0.017379 0.017554
0.225280 0.016586 0.017455
0.225890 0.016098 0.017357
0.226500 0.016041 0.017262
0.227110 0.016598 0.017168
0.227710 0.017104 0.017076
0.228320 0.016534 0.016985
0.228930 0.017057 0.016895
0.229540 0.016390 0.016808
0.230140 0.016225 0.016722
0.230750 0.015489 0.016637
0.231360 0.015228 0.016554
0.231970 0.014788 0.016471
0.232580 0.015481 0.016390
0.233190 0.015129 0.016310
0.233790 0.014101 0.016233
0.234400 0.014232 0.016156
0.235010 0.014096 0.016079
0.235620 0.013249 0.016005
0.236220 0.015085 0.015933
0.236830 0.014865 0.015860
0.237440 0.015357 0.015789
0.238050 0.015461 0.015719
0.238660 0.014528 0.015651
0.239270 0.014069 0.015583
0.239870 0.013737 0.015518
0.240480 0.013731 0.015453
0.241090 0.014588 0.015388
0.241700 0.014802 0.015326
0.242300 0.015456 0.015266
0.242910 0.014862 0.015205
0.243520 0.014010 0.015146
0.244130 0.014135 0.015087
0.244740 0.013949 0.015030
0.245340 0.013750 0.014975
0.245950 0.013713 0.014920
0.246560 0.013709 0.014866
0.247170 0.013288 0.014814
0.247780 0.013714 0.014762
0.248380 0.013767 0.014713
0.248990 0.013399 0.014662
0.249600 0.012766 0.014615
0.250210 0.013803 0.014567
0.250820 0.013632 0.014521
0.251420 0.013929 0.014476
0.252030 0.013034 0.014432
0.252640 0.013254 0.014389
0.253250 0.013769 0.014347
0.253860 0.013345 0.014305
0.254460 0.013604 0.014266
0.255070 0.013427 0.014226
0.255680 0.013413 0.014188
0.256290 0.013508 0.014150
0.256890 0.014429 0.014113
0.257500 0.013815 0.014078
0.258110 0.014379 0.014043
0.258720 0.014430 0.014008
0.259330 0.013963 0.013975
0.259940 0.014016 0.013942
0.260540 0.013893 0.013911
0.261150 0.013904 0.013879
0.261760 0.013634 0.013849
0.262370 0.013653 0.013819
0.262980 0.012839 0.013790
0.263580 0.013546 0.013762
0.264190 0.013329 0.013734
0.264800 0.013456 0.013706
0.265410 0.012648 0.013680
0.266010 0.012572 0.013654
0.266620 0.012774 0.013629
0.267230 0.012677 0.013604
0.267840 0.012779 0.013579
0.268450 0.011894 0.013555
0.269050 0.012880 0.013532
0.269660 0.011866 0.013509
0.270270 0.012559 0.013486
0.270880 0.012313 0.013464
0.271490 0.012438 0.013443
0.272090 0.013353 0.013422
0.272700 0.013586 0.013401
0.273310 0.013565 0.013381
0.273920 0.013815 0.013360
0.274530 0.013876 0.013341
0.275130 0.013430 0.013321
0.275740 0.013123 0.013302
0.276350 0.013313 0.013283
0.276960 0.013241 0.013265
0.277570 0.013889 0.013247
0.278170 0.013550 0.013229
0.278780 0.012831 0.013211
0.279390 0.013178 0.013194
0.280000 0.012918 0.013177
0.280600 0.013592 0.013160
0.281210 0.013166 0.013143
0.281820 0.013234 0.013126
0.282430 0.012992 0.013110
0.283040 0.013182 0.013093
0.283640 0.013465 0.013078
0.284250 0.012887 0.013062
0.284860 0.012353 0.013046
0.285470 0.012252 0.013030
0.286080 0.012211 0.013014
0.286680 0.012333 0.012999
0.287290 0.013203 0.012984
0.287900 0.013211 0.012969
0.288510 0.012832 0.012953
0.289120 0.013082 0.012938
0.289720 0.013342 0.012923
0.290330 0.013286 0.012908
0.290940 0.013291 0.012893
0.291550 0.012929 0.012878
0.292150 0.012833 0.012864
0.292760 0.013217 0.012849
0.293370 0.012495 0.012834
0.293980 0.012082 0.012820
0.294590 0.012700 0.012806
0.295190 0.012903 0.012792
0.295800 0.012714 0.012777
0.296410 0.013650 0.012763
0.297020 0.013519 0.012749
0.297630 0.013260 0.012736
0.298230 0.013368 0.012723
0.298840 0.014224 0.012710
0.299450 0.014478 0.012697
0.300060 0.014751 0.012684
0.300670 0.014294 0.012672
0.301270 0.014422 0.012660
0.301880 0.015061 0.012648
0.302490 0.013796 0.012637
0.303100 0.014054 0.012626
0.303710 0.013782 0.012616
0.304310 0.014136 0.012606
0.304920 0.014250 0.012596
0.305530 0.013085 0.012587
0.306140 0.013974 0.012578
0.306740 0.013453 0.012570
0.307350 0.014097 0.012562
0.307960 0.013955 0.012555
0.308570 0.014083 0.012548
0.309180 0.013667 0.012542
0.309780 0.014499 0.012536
0.310390 0.014893 0.012531
0.311000 0.014312 0.012527
0.311610 0.014898 0.012523
0.312220 0.013723 0.012519
0.312820 0.014009 0.012517
0.313430 0.014445 0.012514
0.314040 0.013605 0.012512
0.314650 0.013387 0.012511
0.315260 0.013360 0.012509
0.315860 0.012861 0.012509
0.316470 0.013782 0.012509
0.317080 0.013137 0.012509
0.317690 0.013331 0.012509
0.318290 0.012757 0.012510
0.318900 0.012365 0.012511
0.319510 0.013303 0.012513
0.320120 0.013075 0.012514
0.320730 0.013185 0.012515
0.321330 0.013423 0.012517
