# SAXS profile: number of points = 864, q_min = 0.012669, q_max = 0.557498, delta_q = 0.000562839876033058
# offset = 0.00000000000000, scaling c = 1.45554220405024e-05, Chi = 4.69214617913934
#  q       exp_intensity   model_intensity
0.10783    19.72490000     16.67953766    
0.10839    19.09580000     15.99655432    
0.10895    17.49180000     15.36300659    
0.10952    17.08890000     14.86375093    
0.11008    16.16600000     14.39474686    
0.11064    15.80710000     14.04062346    
0.11121    15.70480000     13.73006222    
0.11177    16.11480000     13.49499770    
0.11233    15.18920000     13.32296984    
0.11289    14.74170000     13.19480354    
0.11346    14.94620000     13.14402164    
0.11402    14.55160000     13.11407996    
0.11458    14.89690000     13.16412128    
0.11515    14.44260000     13.23308671    
0.11571    14.70500000     13.35560875    
0.11627    14.13010000     13.50864132    
0.11684    14.58010000     13.69408562    
0.11740    15.69720000     13.91618144    
0.11796    16.02830000     14.15334277    
0.11853    15.68800000     14.43171270    
0.11909    15.57700000     14.71854713    
0.11965    16.17730000     15.03497038    
0.12021    15.57760000     15.36210949    
0.12078    16.25340000     15.70672519    
0.12134    16.42660000     16.06325767    
0.12190    17.09040000     16.42760651    
0.12247    16.89790000     16.80399341    
0.12303    17.93030000     17.18245591    
0.12359    18.88390000     17.56768850    
0.12416    18.96750000     17.95342155    
0.12472    20.35980000     18.34046040    
0.12528    19.50840000     18.72606819    
0.12585    19.95770000     19.11024996    
0.12641    20.31250000     19.48841828    
0.12697    20.46760000     19.86430196    
0.12753    20.82630000     20.22862916    
0.12810    21.08290000     20.58966873    
0.12866    21.23810000     20.93792891    
0.12922    21.68860000     21.27863482    
0.12979    21.98410000     21.60782252    
0.13035    22.45000000     21.92340324    
0.13091    22.64760000     22.23064003    
0.13148    23.00890000     22.51743058    
0.13204    23.16210000     22.79867735    
0.13260    23.38140000     23.05566574    
0.13316    23.40190000     23.30452893    
0.13373    23.69240000     23.53362308    
0.13429    23.79710000     23.74764404    
0.13485    23.98290000     23.94747478    
0.13542    24.27820000     24.12502643    
0.13598    24.38500000     24.29470496    
0.13654    24.43900000     24.43442454    
0.13711    24.60600000     24.56732936    
0.13767    24.63810000     24.67455049    
0.13823    24.70690000     24.76886600    
0.13880    24.77830000     24.84476785    
0.13936    24.76720000     24.90060720    
0.13992    24.79390000     24.94495766    
0.14048    24.71140000     24.96256909    
0.14105    24.60460000     24.97325925    
0.14161    24.55260000     24.95587889    
0.14217    24.59170000     24.92924225    
0.14274    24.54700000     24.88173771    
0.14330    24.37920000     24.81871603    
0.14386    24.30420000     24.74199292    
0.14442    24.21990000     24.64407160    
0.14499    24.05780000     24.53926664    
0.14555    23.90370000     24.40824827    
0.14611    23.79530000     24.27137237    
0.14668    23.65530000     24.11367432    
0.14724    23.50030000     23.94562556    
0.14780    23.32810000     23.76364578    
0.14837    23.09240000     23.56641367    
0.14893    22.80170000     23.36097152    
0.14949    22.59270000     23.13683603    
0.15005    22.31050000     22.90803322    
0.15062    22.08470000     22.66103783    
0.15118    21.87150000     22.40821531    
0.15174    21.53780000     22.14309394    
0.15231    21.29210000     21.86854699    
0.15287    20.97340000     21.58613988    
0.15343    20.68720000     21.29204788    
0.15400    20.36960000     20.99444747    
0.15456    20.05690000     20.68331213    
0.15512    19.69060000     20.36946613    
0.15568    19.41150000     20.04617180    
0.15625    19.01750000     19.71839399    
0.15681    18.74830000     19.38492113    
0.15737    18.36900000     19.04480251    
0.15794    18.07780000     18.70224121    
0.15850    17.77780000     18.35338388    
0.15906    17.38430000     18.00311581    
0.15963    17.01630000     17.64792352    
0.16019    16.72460000     17.29139466    
0.16075    16.28680000     16.93224172    
0.16132    15.91690000     16.57147435    
0.16188    15.59630000     16.20944500    
0.16244    15.20080000     15.84630241    
0.16301    14.90750000     15.48285824    
0.16357    14.71740000     15.11977239    
0.16413    14.34860000     14.75697051    
0.16469    13.92040000     14.39510515    
0.16526    13.41910000     14.03454754    
0.16582    13.06240000     13.67554709    
0.16638    12.88290000     13.31897650    
0.16695    12.50690000     12.96354796    
0.16751    12.19190000     12.61245037    
0.16807    11.88330000     12.26261181    
0.16864    11.57320000     11.91822602    
0.16920    11.23020000     11.57620957    
0.16976    10.83190000     11.23856113    
0.17032    10.47150000     10.90535156    
0.17089    10.20400000     10.57541654    
0.17145    9.85291000      10.25248313    
0.17201    9.55930000      9.93152327     
0.17258    9.28779000      9.61967433     
0.17314    9.00843000      9.31034126     
0.17370    8.71045000      9.00868311     
0.17427    8.47253000      8.71203530     
0.17483    8.12945000      8.42102209     
0.17539    7.92140000      8.13758613     
0.17595    7.54937000      7.85748361     
0.17652    7.31111000      7.58827240     
0.17708    7.10305000      7.32171918     
0.17764    6.82742000      7.06536312     
0.17821    6.59768000      6.81365021     
0.17877    6.30392000      6.56998443     
0.17933    6.19489000      6.33363694     
0.17989    5.93628000      6.10238172     
0.18046    5.72827000      5.88198870     
0.18102    5.56008000      5.66454378     
0.18158    5.27254000      5.45891461     
0.18215    5.07476000      5.25680607     
0.18271    4.85325000      5.06466150     
0.18327    4.68696000      4.87881182     
0.18384    4.52037000      4.69964944     
0.18440    4.35378000      4.52980672     
0.18496    4.23107000      4.36379491     
0.18552    4.09219000      4.20972813     
0.18609    3.94381000      4.05857299     
0.18665    3.79569000      3.91846736     
0.18721    3.71397000      3.78308508     
0.18778    3.60461000      3.65540635     
0.18834    3.54252000      3.53547083     
0.18890    3.48854000      3.42061428     
0.18947    3.36500000      3.31544943     
0.19003    3.24894000      3.21295347     
0.19059    3.20246000      3.12245427     
0.19115    3.08434000      3.03495486     
0.19172    2.96567000      2.95535227     
0.19228    2.88880000      2.88158990     
0.19284    2.89764000      2.81368889     
0.19341    2.77060000      2.75325022     
0.19397    2.73028000      2.69567203     
0.19453    2.71998000      2.64821215     
0.19510    2.68226000      2.60299382     
0.19566    2.60846000      2.56590932     
0.19622    2.55113000      2.53261386     
0.19678    2.48416000      2.50513888     
0.19735    2.57881000      2.48304443     
0.19791    2.54522000      2.46427439     
0.19847    2.47564000      2.45293784     
0.19904    2.55952000      2.44349963     
0.19960    2.51761000      2.44120602     
0.20016    2.45472000      2.44109347     
0.20073    2.47727000      2.44633364     
0.20129    2.58507000      2.45510008     
0.20185    2.52873000      2.46720998     
0.20242    2.53462000      2.48409287     
0.20298    2.52271000      2.50267808     
0.20354    2.56845000      2.52667391     
0.20410    2.63816000      2.55188270     
0.20467    2.59521000      2.58147382     
0.20523    2.68463000      2.61288561     
0.20579    2.69029000      2.64693357     
0.20636    2.72984000      2.68377311     
0.20692    2.78580000      2.72223596     
0.20748    2.93741000      2.76362440     
0.20805    3.01044000      2.80578618     
0.20861    2.99164000      2.85119070     
0.20917    2.93943000      2.89723181     
0.20973    2.93545000      2.94473236     
0.21030    3.04569000      2.99344132     
0.21086    3.12136000      3.04314420     
0.21142    3.19290000      3.09404449     
0.21199    3.33977000      3.14531534     
0.21255    3.32436000      3.19761026     
0.21311    3.34123000      3.25006778     
0.21367    3.41348000      3.30307321     
0.21424    3.44169000      3.35623579     
0.21480    3.59260000      3.40961453     
0.21536    3.49463000      3.46263742     
0.21593    3.66839000      3.51546424     
0.21649    3.66016000      3.56774018     
0.21705    3.60265000      3.61984600     
0.21762    3.70580000      3.67109930     
0.21818    3.68206000      3.72184230     
0.21874    3.79128000      3.77148148     
0.21930    3.84278000      3.82018553     
0.21987    3.96766000      3.86809281     
0.22043    3.95193000      3.91448748     
0.22099    4.03453000      3.96041425     
0.22156    4.08612000      4.00399640     
0.22212    4.10936000      4.04694876     
0.22268    4.16022000      4.08766138     
0.22324    4.24045000      4.12711048     
0.22381    4.26198000      4.16491947     
0.22437    4.31892000      4.20082806     
0.22493    4.29755000      4.23575307     
0.22550    4.36496000      4.26753213     
0.22606    4.35621000      4.29854190     
0.22662    4.36794000      4.32660486     
0.22719    4.35736000      4.35343988     
0.22775    4.40170000      4.37778577     
0.22831    4.38746000      4.40000214     
0.22887    4.31855000      4.42046879     
0.22944    4.38288000      4.43815613     
0.23000    4.46445000      4.45503152     
0.23056    4.46950000      4.46777540     
0.23113    4.47841000      4.47966714     
0.23169    4.52477000      4.48860338     
0.23225    4.51485000      4.49573175     
0.23281    4.43093000      4.50062879     
0.23338    4.56309000      4.50290906     
0.23394    4.56372000      4.50390852     
0.23450    4.64912000      4.50125803     
0.23507    4.61169000      4.49774276     
0.23563    4.60158000      4.49098863     
0.23619    4.60335000      4.48288607     
0.23676    4.54248000      4.47219819     
0.23732    4.49614000      4.45950335     
0.23788    4.51034000      4.44527328     
0.23844    4.48820000      4.42801659     
0.23901    4.47827000      4.40991051     
0.23957    4.48091000      4.38855828     
0.24013    4.45761000      4.36644251     
0.24070    4.37768000      4.34192560     
0.24126    4.39876000      4.31592555     
0.24182    4.28180000      4.28823574     
0.24238    4.27953000      4.25840554     
0.24295    4.23670000      4.22758565     
0.24351    4.31344000      4.19442821     
0.24407    4.27982000      4.16067091     
0.24464    4.27629000      4.12452148     
0.24520    4.19161000      4.08757472     
0.24576    4.15362000      4.04918069     
0.24633    4.08807000      4.00961125     
0.24689    4.07915000      3.96918722     
0.24745    4.01313000      3.92727649     
0.24802    4.01379000      3.88495500     
0.24858    3.89824000      3.84096552     
0.24914    3.94805000      3.79664290     
0.24970    3.87289000      3.75132311     
0.25027    3.85567000      3.70548595     
0.25083    3.77632000      3.65890070     
0.25139    3.73889000      3.61185651     
0.25195    3.65034000      3.56461210     
0.25252    3.68786000      3.51667538     
0.25308    3.68582000      3.46863251     
0.25364    3.65630000      3.42031599     
0.25421    3.56830000      3.37195290     
0.25477    3.57113000      3.32350972     
0.25533    3.54461000      3.27511614     
0.25590    3.52014000      3.22675681     
0.25646    3.38885000      3.17871388     
0.25702    3.41384000      3.13077075     
0.25759    3.29622000      3.08351944     
0.25815    3.28112000      3.03646832     
0.25871    3.19718000      2.99006119     
0.25927    3.15817000      2.94412458     
0.25984    3.16992000      2.89877558     
0.26040    3.11296000      2.85422006     
0.26096    3.07645000      2.80999071     
0.26153    3.06288000      2.76739431     
0.26209    2.96875000      2.72512404     
0.26265    2.90495000      2.68397614     
0.26321    2.81699000      2.64362508     
0.26378    2.85127000      2.60457365     
0.26434    2.78591000      2.56673646     
0.26490    2.76637000      2.52969575     
0.26547    2.71375000      2.49444280     
0.26603    2.68441000      2.45974174     
0.26659    2.69266000      2.42722966     
0.26715    2.63211000      2.39540923     
0.26772    2.54459000      2.36542592     
0.26828    2.60236000      2.33666405     
0.26884    2.52208000      2.30913683     
0.26941    2.48998000      2.28364239     
0.26997    2.49231000      2.25893411     
0.27053    2.45134000      2.23665739     
0.27109    2.42698000      2.21505216     
0.27166    2.34423000      2.19605701     
0.27222    2.38086000      2.17814021     
0.27278    2.34794000      2.16192120     
0.27335    2.36643000      2.14732828     
0.27391    2.33020000      2.13377341     
0.27447    2.32288000      2.12291818     
0.27503    2.29612000      2.11275462     
0.27560    2.24234000      2.10517312     
0.27616    2.23337000      2.09848660     
0.27672    2.26166000      2.09403500     
0.27729    2.22347000      2.09106943     
0.27785    2.19015000      2.08953308     
0.27841    2.15542000      2.09005094     
0.27897    2.15480000      2.09131272     
0.27954    2.14288000      2.09540727     
0.28010    2.12323000      2.10010552     
0.28066    2.14216000      2.10696357     
0.28123    2.21472000      2.11502048     
0.28179    2.14945000      2.12485211     
0.28235    2.15136000      2.13617406     
0.28292    2.18446000      2.14838270     
0.28348    2.16276000      2.16284356     
0.28404    2.16742000      2.17788337     
0.28460    2.22088000      2.19517466     
0.28517    2.24762000      2.21314237     
0.28573    2.32077000      2.23264124     
0.28629    2.27463000      2.25328744     
0.28686    2.26506000      2.27499101     
0.28742    2.27079000      2.29827512     
0.28798    2.22262000      2.32210250     
0.28854    2.25727000      2.34769475     
0.28911    2.26273000      2.37369487     
0.28967    2.30367000      2.40111904     
0.29023    2.26937000      2.42921709     
0.29080    2.32355000      2.45820053     
0.29136    2.32538000      2.48822587     
0.29192    2.33985000      2.51884332     
0.29248    2.43543000      2.55042541     
0.29305    2.40632000      2.58225567     
0.29361    2.46251000      2.61508404     
0.29417    2.42222000      2.64825135     
0.29474    2.49811000      2.68211620     
0.29530    2.53819000      2.71641195     
0.29586    2.59292000      2.75103500     
0.29642    2.63266000      2.78610124     
0.29699    2.62741000      2.82131140     
0.29755    2.60814000      2.85705381     
