# x and average y for the best solution found, chi=0.046679
#  q       exp_intensity   weighted_intensity
0.168110 14.938000 15.339763
0.168720 14.471900 15.091627
0.169330 14.084000 14.846366
0.169940 13.690300 14.603545
0.170550 13.125900 14.365696
0.171150 13.331700 14.133822
0.171760 13.584300 13.902790
0.172370 13.053300 13.674853
0.172980 12.617000 13.448924
0.173590 12.692800 13.228701
0.174190 12.540300 13.014114
0.174800 12.661400 12.799979
0.175410 12.564400 12.589952
0.176020 12.012400 12.382125
0.176630 12.136600 12.180065
0.177230 12.172400 11.983590
0.177840 11.363800 11.787556
0.178450 10.798500 11.596148
0.179060 10.665400 11.407007
0.179670 10.768100 11.223568
0.180270 10.850800 11.045987
0.180880 10.780100 10.868986
0.181490 10.512000 10.696513
0.182100 10.262300 10.526181
0.182710 9.961390 10.361118
0.183310 9.770050 10.201945
0.183920 9.761550 10.043147
0.184530 9.678550 9.889497
0.185140 9.769200 9.737988
0.185750 9.628900 9.591061
0.186350 9.119770 9.449973
0.186960 9.224520 9.309023
0.187570 9.033080 9.173566
0.188180 8.583570 9.040169
0.188790 8.337140 8.910772
0.189390 8.317690 8.786924
0.190000 8.517350 8.662889
0.190610 8.380030 8.544807
0.191220 8.287250 8.428499
0.191830 8.229910 8.315336
0.192430 7.863530 8.207682
0.193040 8.242020 8.100015
0.193650 7.801890 7.996807
0.194260 7.784130 7.895717
0.194870 7.717530 7.797479
0.195470 7.547260 7.704268
0.196080 7.120760 7.611046
0.196690 7.107000 7.521665
0.197300 7.125460 7.434314
0.197910 7.460680 7.349059
0.198510 7.330930 7.268728
0.199120 7.122510 7.188430
0.199730 7.016010 7.111152
0.200340 6.852380 7.035811
0.200950 6.730200 6.962008
0.201550 6.624770 6.892458
0.202160 6.591150 6.822915
0.202770 6.395080 6.755858
0.203380 6.257920 6.690574
0.203990 6.243530 6.626363
0.204590 6.252790 6.565964
0.205200 6.195820 6.505475
0.205810 6.274030 6.446769
0.206420 6.266850 6.389756
0.207030 6.463270 6.333624
0.207630 6.250690 6.280601
0.208240 6.355930 6.227541
0.208850 6.425070 6.175790
0.209460 6.043040 6.125426
0.210070 6.158650 6.075722
0.210670 5.861930 6.028411
0.211280 5.889900 5.981060
0.211890 5.918460 5.934590
0.212500 6.163670 5.889426
0.213110 6.271010 5.844791
0.213710 5.710900 5.801965
0.214320 5.507550 5.759145
0.214930 5.421140 5.716978
0.215540 5.555800 5.675928
0.216150 5.470050 5.635247
0.216750 5.438270 5.595907
0.217360 5.340910 5.556500
0.217970 5.408420 5.517503
0.218580 5.697040 5.479295
0.219190 5.555460 5.441413
0.219790 5.349400 5.404772
0.220400 5.316400 5.368010
0.221010 5.304860 5.331516
0.221620 5.184410 5.295721
0.222230 5.105960 5.260165
0.222830 5.094850 5.225579
0.223440 5.194520 5.190870
0.224050 5.347880 5.156384
0.224660 5.356730 5.122427
0.225270 5.367770 5.088672
0.225870 5.433990 5.055720
0.226480 5.447840 5.022644
0.227090 5.320400 4.989744
0.227700 5.286010 4.957202
0.228310 5.259780 4.924906
0.228910 5.190340 4.893373
0.229520 5.446880 4.861701
0.230130 5.399220 4.830172
0.230740 5.119920 4.798929
0.231350 5.102730 4.768015
0.231950 4.685400 4.737849
0.232560 4.738240 4.707419
0.233170 4.742800 4.677125
0.233780 4.835300 4.647127
0.234390 5.045360 4.617331
0.234990 4.910600 4.588135
0.235600 4.858200 4.558976
0.236210 4.920730 4.529925
0.236820 5.017950 4.501064
0.237430 4.955700 4.472513
0.238030 4.928430 4.444579
0.238640 4.594700 4.416604
0.239250 4.503600 4.388752
0.239860 4.676710 4.361078
0.240470 4.404270 4.333751
0.241070 4.472790 4.307022
0.241680 4.346950 4.280221
0.242290 4.660510 4.253566
0.242900 4.226160 4.227072
0.243510 4.602130 4.200977
0.244110 4.373290 4.175439
0.244720 4.432280 4.149715
0.245330 4.175570 4.124266
0.245940 4.670510 4.099053
0.246550 4.571030 4.074191
0.247150 4.408820 4.049861
0.247760 4.338740 4.025388
0.248370 4.296060 4.001137
0.248980 4.210980 3.977029
0.249590 4.016590 3.953391
0.250190 3.744680 3.930249
0.250800 4.181630 3.906928
0.251410 3.861280 3.883952
0.252020 3.953370 3.861158
0.252630 3.744820 3.838796
0.253230 3.826630 3.816928
0.253840 3.412170 3.794906
0.254450 3.796320 3.773171
0.255060 3.715410 3.751586
0.255670 3.421290 3.730424
