# SAXS profile: number of points = 512, q_min = 0.01003, q_max = 0.32133, delta_q = 0.000609197651663405
# offset = 0.00000000000000, scaling c = 2.10976710697669e-08, Chi = 0.104035508198746
#  q       exp_intensity   model_intensity
0.01003    8.90556000      9.19583457     
0.01125    8.87650000      9.06255944     
0.01186    8.99026000      8.99167207     
0.01247    8.76165000      8.91684635     
0.01307    8.70614000      8.84153464     
0.01368    8.55875000      8.76066663     
0.01429    8.38747000      8.67760810     
0.01490    8.31394000      8.59213241     
0.01551    8.26369000      8.50302651     
0.01611    8.14900000      8.41394972     
0.01672    8.09506000      8.32007556     
0.01733    8.03641000      8.22416038     
0.01794    7.97876000      8.12651340     
0.01855    7.87927000      8.02573494     
0.01915    7.76355000      7.92549180     
0.01976    7.64568000      7.82119665     
0.02037    7.52141000      7.71516493     
0.02098    7.45614000      7.60800680     
0.02159    7.33012000      7.49836993     
0.02219    7.19029000      7.38974855     
0.02280    7.05565000      7.27778291     
0.02341    6.93198000      7.16451254     
0.02402    6.79149000      7.05055238     
0.02463    6.73787000      6.93501883     
0.02524    6.58799000      6.81896306     
0.02584    6.45104000      6.70401795     
0.02645    6.35212000      6.58640414     
0.02706    6.24522000      6.46845064     
0.02767    6.12726000      6.34983720     
0.02828    6.02968000      6.23102387     
0.02888    5.90262000      6.11392657     
0.02949    5.80413000      5.99474869     
0.03010    5.67915000      5.87555818     
0.03071    5.57321000      5.75646434     
0.03132    5.45542000      5.63756691     
0.03192    5.37351000      5.52079368     
0.03253    5.25594000      5.40262336     
0.03314    5.14206000      5.28478544     
0.03375    5.02708000      5.16778519     
0.03436    4.89446000      5.05129775     
0.03497    4.79204000      4.93516645     
0.03557    4.68737000      4.82216238     
0.03618    4.51893000      4.70778809     
0.03679    4.46466000      4.59448337     
0.03740    4.36963000      4.48229420     
0.03800    4.25522000      4.37252027     
0.03861    4.14164000      4.26279773     
0.03922    4.04756000      4.15380895     
0.03983    3.95415000      4.04612094     
0.04044    3.84071000      3.94001194     
0.04104    3.75447000      3.83639439     
0.04165    3.64586000      3.73321188     
0.04226    3.54761000      3.63106788     
0.04287    3.44102000      3.53032188     
0.04348    3.34928000      3.43157359     
0.04409    3.24463000      3.33375490     
0.04469    3.16748000      3.23974806     
0.04530    3.07082000      3.14550431     
0.04591    2.98130000      3.05263476     
0.04652    2.89361000      2.96212933     
0.04713    2.80973000      2.87263421     
0.04773    2.72767000      2.78678944     
0.04834    2.64334000      2.70110997     
0.04895    2.56695000      2.61669796     
0.04956    2.48491000      2.53493494     
0.05017    2.42478000      2.45421828     
0.05078    2.34000000      2.37559767     
0.05138    2.27100000      2.30007571     
0.05199    2.19598000      2.22436031     
0.05260    2.12858000      2.15150394     
0.05321    2.04950000      2.07968955     
0.05382    1.99148000      2.00976914     
0.05442    1.92517000      1.94296917     
0.05503    1.85799000      1.87605544     
0.05564    1.79269000      1.81183643     
0.05625    1.72956000      1.74876517     
0.05686    1.66929000      1.68734669     
0.05746    1.61580000      1.62900816     
0.05807    1.55922000      1.57065660     
0.05868    1.50377000      1.51475688     
0.05929    1.45477000      1.46008016     
0.05990    1.39872000      1.40675298     
0.06050    1.35343000      1.35641916     
0.06111    1.29969000      1.30613152     
0.06172    1.25868000      1.25790828     
0.06233    1.20503000      1.21101099     
0.06294    1.16200000      1.16523876     
0.06354    1.11679000      1.12231946     
0.06415    1.07071000      1.07948969     
0.06476    1.03355000      1.03839982     
0.06537    0.99299600      0.99866156     
0.06598    0.95437600      0.95980005     
0.06659    0.91394600      0.92301938     
0.06719    0.88116400      0.88755692     
0.06780    0.84665800      0.85292037     
0.06841    0.81453900      0.81962605     
0.06902    0.78243300      0.78704928     
0.06963    0.74859700      0.75632551     
0.07023    0.71870000      0.72679858     
0.07084    0.68855500      0.69791325     
0.07145    0.66421000      0.67032693     
0.07206    0.64007800      0.64336840     
0.07266    0.61164500      0.61834771     
0.07327    0.59242300      0.59362167     
0.07388    0.56748700      0.56979181     
0.07449    0.54042600      0.54719468     
0.07510    0.52178200      0.52514294     
0.07571    0.49956600      0.50433303     
0.07631    0.47942500      0.48455947     
0.07692    0.46200400      0.46511755     
0.07753    0.44428600      0.44682319     
0.07814    0.42520100      0.42899011     
0.07875    0.40842500      0.41212409     
0.07935    0.39207100      0.39621780     
0.07996    0.37595100      0.38054256     
0.08057    0.36537200      0.36592102     
0.08118    0.34843900      0.35168775     
0.08179    0.33160600      0.33820541     
0.08239    0.32102300      0.32558795     
0.08300    0.30822600      0.31311266     
0.08361    0.29764900      0.30158820     
0.08422    0.28360900      0.29038704     
0.08483    0.27636500      0.27975900     
0.08543    0.26748100      0.26989998     
0.08604    0.26018000      0.26016771     
0.08665    0.24909800      0.25117658     
0.08726    0.23735800      0.24250279     
0.08787    0.22878700      0.23425621     
0.08847    0.22022400      0.22668314     
0.08908    0.21358800      0.21922237     
0.08969    0.20223900      0.21233897     
0.09030    0.20056500      0.20575110     
0.09091    0.19463100      0.19946865     
0.09151    0.19216000      0.19376600     
