# x and average y for the best solution found, chi=0.174993
#  q       exp_intensity   weighted_intensity
0.138340 1.126630 1.158024
0.138940 1.046071 1.136116
0.139550 1.068552 1.114469
0.140160 1.088576 1.093063
0.140770 0.987991 1.072141
0.141380 1.043752 1.051665
0.141980 0.971412 1.031790
0.142590 1.028061 1.012235
0.143200 1.015786 0.992938
0.143810 0.925304 0.974123
0.144420 0.982615 0.955775
0.145020 0.939419 0.937958
0.145630 0.935400 0.920537
0.146240 0.874111 0.903372
0.146850 0.929435 0.886601
0.147460 0.901775 0.870334
0.148060 0.896818 0.854559
0.148670 0.865332 0.839116
0.149280 0.821858 0.823952
0.149890 0.706032 0.809118
0.150500 0.725880 0.794794
0.151100 0.720498 0.780908
0.151710 0.745543 0.767264
0.152320 0.751273 0.753914
0.152930 0.673176 0.740830
0.153540 0.673604 0.728198
0.154150 0.629890 0.715745
0.154750 0.624757 0.703863
0.155360 0.678099 0.692069
0.155970 0.660281 0.680473
0.156580 0.641212 0.669284
0.157180 0.648825 0.658418
0.157790 0.584626 0.647653
0.158400 0.605976 0.637152
0.159010 0.593574 0.626795
0.159620 0.608483 0.616776
0.160230 0.574228 0.606890
0.160830 0.560230 0.597381
0.161440 0.492631 0.587923
0.162050 0.511885 0.578570
0.162660 0.514105 0.569477
0.163260 0.445927 0.560656
0.163870 0.506187 0.551853
0.164480 0.486939 0.543232
0.165090 0.517230 0.534697
0.165700 0.540986 0.526367
0.166310 0.459127 0.518153
0.166910 0.529416 0.510182
0.167520 0.491567 0.502246
0.168130 0.485027 0.494383
0.168740 0.480323 0.486683
0.169340 0.515283 0.479221
0.169950 0.423655 0.471722
0.170560 0.421083 0.464382
0.171170 0.413381 0.457111
0.171780 0.422325 0.449981
0.172390 0.390801 0.442959
0.172990 0.417868 0.436111
0.173600 0.393267 0.429329
0.174210 0.380032 0.422611
0.174820 0.429185 0.416009
0.175420 0.316576 0.409641
0.176030 0.320185 0.403231
0.176640 0.295316 0.396989
0.177250 0.349783 0.390820
0.177860 0.354221 0.384756
0.178470 0.331554 0.378848
0.179070 0.375967 0.373104
0.179680 0.403649 0.367418
0.180290 0.364415 0.361829
0.180900 0.365354 0.356347
0.181510 0.356332 0.351020
0.182110 0.282130 0.345847
0.182720 0.334900 0.340750
0.183330 0.286148 0.335760
0.183940 0.267400 0.330861
0.184550 0.291827 0.326146
0.185150 0.300582 0.321580
0.185760 0.274281 0.317095
0.186370 0.314878 0.312732
0.186980 0.233523 0.308447
0.187590 0.243403 0.304356
0.188190 0.254268 0.300407
0.188800 0.284253 0.296542
0.189410 0.326485 0.292802
0.190020 0.326192 0.289128
0.190630 0.317792 0.285667
0.191230 0.247056 0.282329
0.191840 0.287160 0.279048
0.192450 0.275325 0.275924
0.193060 0.291428 0.272873
0.193670 0.299418 0.269976
0.194270 0.261137 0.267209
0.194880 0.341178 0.264500
0.195490 0.269796 0.261932
0.196100 0.288769 0.259428
0.196710 0.272021 0.257072
0.197310 0.262648 0.254831
0.197920 0.272027 0.252625
0.198530 0.264112 0.250560
0.199140 0.322275 0.248547
