# SAXS profile: number of points = 730, q_min = 0.018776, q_max = 0.614113, delta_q = 0.000658558628318584
# offset = -0.00371210025718918, scaling c = 3.87135007730976e-05, Chi = 3.66545644079345
#  q       exp_intensity   model_intensity
0.05172    300.38000000    298.38710206   
0.05237    295.28000000    295.47089022   
0.05303    295.95400000    292.54926677   
0.05369    294.32600000    289.62290134   
0.05435    295.03800000    286.68797636   
0.05501    287.16400000    283.74935186   
0.05567    279.91400000    280.80481699   
0.05633    276.55800000    277.85840888   
0.05699    271.23500000    274.91458425   
0.05765    272.83000000    271.96392872   
0.05830    263.65500000    269.01302379   
0.05896    268.01000000    266.06188737   
0.05962    265.02500000    263.11206379   
0.06028    260.18100000    260.16816172   
0.06094    258.70300000    257.22163434   
0.06160    255.02100000    254.27946601   
0.06226    250.62000000    251.34032951   
0.06292    248.18900000    248.40523989   
0.06357    246.46900000    245.48142580   
0.06423    245.07100000    242.55770331   
0.06489    243.96700000    239.64044451   
0.06555    237.59300000    236.73263928   
0.06621    234.68100000    233.83076968   
0.06687    234.28500000    230.94201945   
0.06753    229.22000000    228.06040080   
0.06819    226.89800000    225.18616736   
0.06885    223.88300000    222.32337575   
0.06950    218.09600000    219.47367633   
0.07016    218.06300000    216.63688975   
0.07082    220.73100000    213.80980015   
0.07148    217.14400000    210.99723081   
0.07214    212.07400000    208.19459725   
0.07280    207.28800000    205.40887655   
0.07346    205.67400000    202.64287418   
0.07412    202.45400000    199.88366213   
0.07477    197.89100000    197.14394519   
0.07543    194.09300000    194.42049910   
0.07609    190.59900000    191.70919488   
0.07675    191.93900000    189.02446229   
0.07741    190.70600000    186.35226269   
0.07807    188.72400000    183.69310596   
0.07873    183.25100000    181.05905022   
0.07939    181.68400000    178.44198217   
0.08004    178.78700000    175.84288357   
0.08070    176.74100000    173.26781039   
0.08136    172.75900000    170.70951077   
0.08202    169.72900000    168.16597883   
0.08268    167.94600000    165.65300391   
0.08334    163.88600000    163.16042340   
0.08400    162.43100000    160.67977709   
0.08466    159.84600000    158.23202065   
0.08532    156.92000000    155.80053442   
0.08597    157.16100000    153.39031520   
0.08663    153.53400000    151.00936303   
0.08729    151.61300000    148.64516092   
0.08795    148.90400000    146.30036217   
0.08861    144.25500000    143.98839853   
0.08927    143.79900000    141.69720250   
0.08993    142.83500000    139.42389009   
0.09058    137.97900000    137.18275654   
0.09124    136.75500000    134.95927260   
0.09190    135.78800000    132.75888452   
0.09256    132.98700000    130.59357139   
0.09322    131.79500000    128.44284091   
0.09388    130.75700000    126.31680980   
0.09454    126.84300000    124.22156931   
0.09520    125.80300000    122.14456719   
0.09585    124.20600000    120.09720852   
0.09651    120.16800000    118.07648572   
0.09717    120.36400000    116.07416337   
0.09783    117.24000000    114.09995795   
0.09849    118.66900000    112.15723703   
0.09915    116.09500000    110.22995072   
0.09981    114.28300000    108.33211660   
0.10047    109.98800000    106.46144774   
0.10113    111.33000000    104.60928292   
0.10178    106.45500000    102.79091143   
0.10244    107.22800000    100.99535770   
0.10310    105.35400000    99.21817728    
0.10376    105.89900000    97.47321655    
0.10442    103.41200000    95.75263021    
0.10508    99.66400000     94.05292584    
0.10574    99.43570000     92.38356827    
0.10640    96.45910000     90.73697001    
0.10705    96.04960000     89.10859390    
