      S          J EXP       ERROR       J REG       I REG

  0.7652E-01  0.3987E+00  0.3148E-02  0.3946E+00  0.3946E+00
  0.7795E-01  0.3704E+00  0.2769E-02  0.3708E+00  0.3708E+00
  0.7937E-01  0.3509E+00  0.2517E-02  0.3483E+00  0.3483E+00
  0.8080E-01  0.3280E+00  0.2691E-02  0.3269E+00  0.3269E+00
  0.8223E-01  0.3063E+00  0.2623E-02  0.3068E+00  0.3068E+00
  0.8366E-01  0.2859E+00  0.2619E-02  0.2878E+00  0.2878E+00
  0.8508E-01  0.2674E+00  0.2313E-02  0.2700E+00  0.2700E+00
  0.8651E-01  0.2502E+00  0.2346E-02  0.2532E+00  0.2532E+00
  0.8794E-01  0.2363E+00  0.2440E-02  0.2374E+00  0.2374E+00
  0.8937E-01  0.2244E+00  0.2255E-02  0.2227E+00  0.2227E+00
  0.9079E-01  0.2106E+00  0.2247E-02  0.2089E+00  0.2089E+00
  0.9222E-01  0.1954E+00  0.2117E-02  0.1961E+00  0.1961E+00
  0.9365E-01  0.1866E+00  0.1996E-02  0.1841E+00  0.1841E+00
  0.9508E-01  0.1729E+00  0.2000E-02  0.1729E+00  0.1729E+00
  0.9650E-01  0.1628E+00  0.1726E-02  0.1625E+00  0.1625E+00
  0.9793E-01  0.1519E+00  0.1808E-02  0.1528E+00  0.1528E+00
  0.9936E-01  0.1420E+00  0.1917E-02  0.1439E+00  0.1439E+00
  0.1008E+00  0.1336E+00  0.1872E-02  0.1355E+00  0.1355E+00
  0.1022E+00  0.1268E+00  0.1747E-02  0.1278E+00  0.1278E+00
  0.1036E+00  0.1228E+00  0.1788E-02  0.1207E+00  0.1207E+00
  0.1051E+00  0.1129E+00  0.1743E-02  0.1141E+00  0.1141E+00
  0.1065E+00  0.1060E+00  0.1571E-02  0.1079E+00  0.1079E+00
  0.1079E+00  0.9895E-01  0.1509E-02  0.1022E+00  0.1022E+00
  0.1094E+00  0.9584E-01  0.1433E-02  0.9698E-01  0.9698E-01
  0.1108E+00  0.9097E-01  0.1464E-02  0.9209E-01  0.9209E-01
  0.1122E+00  0.8594E-01  0.1436E-02  0.8756E-01  0.8756E-01
  0.1136E+00  0.8319E-01  0.1480E-02  0.8335E-01  0.8335E-01
  0.1151E+00  0.8060E-01  0.1387E-02  0.7944E-01  0.7944E-01
  0.1165E+00  0.7487E-01  0.1379E-02  0.7579E-01  0.7579E-01
  0.1179E+00  0.7215E-01  0.1396E-02  0.7239E-01  0.7239E-01
  0.1193E+00  0.6947E-01  0.1302E-02  0.6921E-01  0.6921E-01
  0.1208E+00  0.6626E-01  0.1284E-02  0.6624E-01  0.6624E-01
  0.1222E+00  0.6443E-01  0.1298E-02  0.6345E-01  0.6345E-01
  0.1236E+00  0.6018E-01  0.1288E-02  0.6082E-01  0.6082E-01
  0.1251E+00  0.5699E-01  0.1299E-02  0.5834E-01  0.5834E-01
  0.1265E+00  0.5541E-01  0.1277E-02  0.5600E-01  0.5600E-01
  0.1279E+00  0.5420E-01  0.1266E-02  0.5379E-01  0.5379E-01
  0.1293E+00  0.5151E-01  0.1215E-02  0.5168E-01  0.5168E-01
  0.1308E+00  0.4957E-01  0.1227E-02  0.4967E-01  0.4967E-01
  0.1322E+00  0.4814E-01  0.1212E-02  0.4776E-01  0.4776E-01
  0.1336E+00  0.4684E-01  0.1156E-02  0.4594E-01  0.4594E-01
  0.1350E+00  0.4238E-01  0.1177E-02  0.4419E-01  0.4419E-01
  0.1365E+00  0.4211E-01  0.1227E-02  0.4251E-01  0.4251E-01
  0.1379E+00  0.4068E-01  0.1182E-02  0.4090E-01  0.4090E-01
  0.1393E+00  0.4046E-01  0.1199E-02  0.3935E-01  0.3935E-01
  0.1408E+00  0.3708E-01  0.1160E-02  0.3786E-01  0.3786E-01
  0.1422E+00  0.3706E-01  0.1180E-02  0.3643E-01  0.3643E-01
  0.1436E+00  0.3448E-01  0.1166E-02  0.3505E-01  0.3505E-01
  0.1450E+00  0.3354E-01  0.1143E-02  0.3372E-01  0.3372E-01
  0.1465E+00  0.3286E-01  0.1158E-02  0.3243E-01  0.3243E-01
  0.1479E+00  0.3243E-01  0.1177E-02  0.3120E-01  0.3120E-01
  0.1493E+00  0.2820E-01  0.1200E-02  0.3001E-01  0.3001E-01
  0.1507E+00  0.2939E-01  0.1186E-02  0.2887E-01  0.2887E-01
  0.1522E+00  0.2808E-01  0.1175E-02  0.2777E-01  0.2777E-01
  0.1536E+00  0.2609E-01  0.1195E-02  0.2671E-01  0.2671E-01
  0.1550E+00  0.2581E-01  0.1202E-02  0.2570E-01  0.2570E-01
  0.1565E+00  0.2541E-01  0.1187E-02  0.2473E-01  0.2473E-01
  0.1579E+00  0.2303E-01  0.1178E-02  0.2379E-01  0.2379E-01
  0.1593E+00  0.2232E-01  0.1207E-02  0.2290E-01  0.2290E-01
  0.1607E+00  0.2352E-01  0.1137E-02  0.2205E-01  0.2205E-01
  0.1622E+00  0.2146E-01  0.1122E-02  0.2124E-01  0.2124E-01
  0.1636E+00  0.2101E-01  0.1147E-02  0.2047E-01  0.2047E-01
  0.1650E+00  0.1974E-01  0.1216E-02  0.1974E-01  0.1974E-01
  0.1665E+00  0.1784E-01  0.1195E-02  0.1904E-01  0.1904E-01
  0.1679E+00  0.1758E-01  0.1169E-02  0.1838E-01  0.1838E-01
  0.1693E+00  0.1659E-01  0.1184E-02  0.1776E-01  0.1776E-01
  0.1707E+00  0.1562E-01  0.1185E-02  0.1717E-01  0.1717E-01
  0.1722E+00  0.1534E-01  0.1203E-02  0.1661E-01  0.1661E-01
  0.1736E+00  0.1639E-01  0.1193E-02  0.1608E-01  0.1608E-01
  0.1750E+00  0.1434E-01  0.1182E-02  0.1559E-01  0.1559E-01
  0.1764E+00  0.1726E-01  0.1194E-02  0.1512E-01  0.1512E-01
  0.1779E+00  0.1547E-01  0.1201E-02  0.1469E-01  0.1469E-01
  0.1793E+00  0.1485E-01  0.1219E-02  0.1428E-01  0.1428E-01
  0.1807E+00  0.1162E-01  0.1245E-02  0.1390E-01  0.1390E-01
  0.1822E+00  0.1204E-01  0.1208E-02  0.1354E-01  0.1354E-01
  0.1836E+00  0.1180E-01  0.1206E-02  0.1320E-01  0.1320E-01
  0.1850E+00  0.1279E-01  0.1232E-02  0.1289E-01  0.1289E-01
  0.1864E+00  0.1266E-01  0.1221E-02  0.1259E-01  0.1259E-01
  0.1879E+00  0.1207E-01  0.1225E-02  0.1232E-01  0.1232E-01
  0.1893E+00  0.1185E-01  0.1218E-02  0.1207E-01  0.1207E-01
  0.1907E+00  0.1199E-01  0.1235E-02  0.1183E-01  0.1183E-01
  0.1921E+00  0.1356E-01  0.1184E-02  0.1161E-01  0.1161E-01
  0.1936E+00  0.1169E-01  0.1216E-02  0.1140E-01  0.1140E-01
  0.1950E+00  0.1137E-01  0.1218E-02  0.1120E-01  0.1120E-01
  0.1964E+00  0.1057E-01  0.1241E-02  0.1102E-01  0.1102E-01
  0.1979E+00  0.1042E-01  0.1228E-02  0.1085E-01  0.1085E-01
  0.1993E+00  0.9162E-02  0.1239E-02  0.1069E-01  0.1069E-01
  0.2007E+00  0.9156E-02  0.1222E-02  0.1054E-01  0.1054E-01
  0.2021E+00  0.1123E-01  0.1219E-02  0.1040E-01  0.1040E-01
  0.2036E+00  0.1129E-01  0.1284E-02  0.1027E-01  0.1027E-01
  0.2050E+00  0.1002E-01  0.1214E-02  0.1014E-01  0.1014E-01
  0.2064E+00  0.8586E-02  0.1233E-02  0.1002E-01  0.1002E-01
  0.2079E+00  0.9652E-02  0.1279E-02  0.9904E-02  0.9904E-02
  0.2093E+00  0.1006E-01  0.1248E-02  0.9795E-02  0.9795E-02
  0.2107E+00  0.9494E-02  0.1213E-02  0.9690E-02  0.9690E-02
  0.2121E+00  0.1030E-01  0.1203E-02  0.9590E-02  0.9590E-02
  0.2136E+00  0.9217E-02  0.1254E-02  0.9493E-02  0.9493E-02
  0.2150E+00  0.1036E-01  0.1243E-02  0.9400E-02  0.9400E-02
  0.2164E+00  0.8218E-02  0.1273E-02  0.9310E-02  0.9310E-02
  0.2178E+00  0.8175E-02  0.1280E-02  0.9223E-02  0.9223E-02
  0.2193E+00  0.1064E-01  0.1253E-02  0.9138E-02  0.9138E-02
  0.2207E+00  0.1001E-01  0.1247E-02  0.9056E-02  0.9056E-02
  0.2221E+00  0.9408E-02  0.1212E-02  0.8976E-02  0.8976E-02
  0.2236E+00  0.7932E-02  0.1240E-02  0.8898E-02  0.8898E-02
  0.2250E+00  0.7340E-02  0.1262E-02  0.8822E-02  0.8822E-02
  0.2264E+00  0.8482E-02  0.1231E-02  0.8748E-02  0.8748E-02
  0.2278E+00  0.9360E-02  0.1242E-02  0.8675E-02  0.8675E-02
  0.2293E+00  0.9363E-02  0.1244E-02  0.8605E-02  0.8605E-02
  0.2307E+00  0.7381E-02  0.1242E-02  0.8537E-02  0.8537E-02
  0.2321E+00  0.7125E-02  0.1224E-02  0.8470E-02  0.8470E-02
  0.2335E+00  0.8232E-02  0.1249E-02  0.8406E-02  0.8406E-02
  0.2350E+00  0.7404E-02  0.1215E-02  0.8343E-02  0.8343E-02
  0.2364E+00  0.7254E-02  0.1240E-02  0.8283E-02  0.8283E-02
  0.2378E+00  0.9256E-02  0.1233E-02  0.8225E-02  0.8225E-02
  0.2393E+00  0.7699E-02  0.1218E-02  0.8169E-02  0.8169E-02
  0.2407E+00  0.8613E-02  0.1258E-02  0.8116E-02  0.8116E-02
  0.2421E+00  0.9903E-02  0.1297E-02  0.8065E-02  0.8065E-02
  0.2435E+00  0.9073E-02  0.1228E-02  0.8018E-02  0.8018E-02
  0.2450E+00  0.6386E-02  0.1235E-02  0.7973E-02  0.7973E-02
  0.2464E+00  0.7094E-02  0.1208E-02  0.7931E-02  0.7931E-02
  0.2478E+00  0.8231E-02  0.1186E-02  0.7893E-02  0.7893E-02
  0.2492E+00  0.8231E-02  0.1201E-02  0.7857E-02  0.7857E-02
  0.2507E+00  0.8026E-02  0.1201E-02  0.7825E-02  0.7825E-02
  0.2521E+00  0.7202E-02  0.1208E-02  0.7796E-02  0.7796E-02
  0.2535E+00  0.6820E-02  0.1190E-02  0.7771E-02  0.7771E-02
  0.2550E+00  0.6574E-02  0.1205E-02  0.7749E-02  0.7749E-02
  0.2564E+00  0.7504E-02  0.1235E-02  0.7730E-02  0.7730E-02
  0.2578E+00  0.9182E-02  0.1223E-02  0.7716E-02  0.7716E-02
  0.2592E+00  0.8347E-02  0.1199E-02  0.7704E-02  0.7704E-02
  0.2607E+00  0.8028E-02  0.1228E-02  0.7696E-02  0.7696E-02
  0.2621E+00  0.5925E-02  0.1250E-02  0.7691E-02  0.7691E-02
  0.2635E+00  0.4963E-02  0.1270E-02  0.7690E-02  0.7690E-02
  0.2650E+00  0.6718E-02  0.1245E-02  0.7692E-02  0.7692E-02
  0.2664E+00  0.8766E-02  0.1270E-02  0.7696E-02  0.7696E-02
  0.2678E+00  0.9568E-02  0.1234E-02  0.7704E-02  0.7704E-02
  0.2692E+00  0.6633E-02  0.1234E-02  0.7714E-02  0.7714E-02
  0.2707E+00  0.6933E-02  0.1225E-02  0.7727E-02  0.7727E-02
  0.2721E+00  0.8894E-02  0.1234E-02  0.7742E-02  0.7742E-02
  0.2735E+00  0.7983E-02  0.1240E-02  0.7758E-02  0.7758E-02
  0.2749E+00  0.5499E-02  0.1242E-02  0.7778E-02  0.7778E-02
  0.2764E+00  0.7829E-02  0.1244E-02  0.7797E-02  0.7797E-02
  0.2778E+00  0.7313E-02  0.1214E-02  0.7818E-02  0.7818E-02
  0.2792E+00  0.7696E-02  0.1219E-02  0.7840E-02  0.7840E-02
  0.2807E+00  0.8065E-02  0.1244E-02  0.7863E-02  0.7863E-02
  0.2821E+00  0.8440E-02  0.1222E-02  0.7885E-02  0.7885E-02
  0.2835E+00  0.7064E-02  0.1239E-02  0.7908E-02  0.7908E-02
  0.2849E+00  0.6601E-02  0.1235E-02  0.7930E-02  0.7930E-02
  0.2864E+00  0.8205E-02  0.1241E-02  0.7952E-02  0.7952E-02
  0.2878E+00  0.7079E-02  0.1273E-02  0.7972E-02  0.7972E-02
  0.2892E+00  0.6490E-02  0.1225E-02  0.7992E-02  0.7992E-02
  0.2906E+00  0.1079E-01  0.1241E-02  0.8009E-02  0.8009E-02
  0.2921E+00  0.8593E-02  0.1272E-02  0.8025E-02  0.8025E-02
  0.2935E+00  0.7894E-02  0.1256E-02  0.8039E-02  0.8039E-02
  0.2949E+00  0.8004E-02  0.1239E-02  0.8051E-02  0.8051E-02
  0.2964E+00  0.8632E-02  0.1202E-02  0.8060E-02  0.8060E-02
  0.2978E+00  0.8906E-02  0.1234E-02  0.8066E-02  0.8066E-02
  0.2992E+00  0.8973E-02  0.1274E-02  0.8069E-02  0.8069E-02
  0.3006E+00  0.9193E-02  0.1281E-02  0.8070E-02  0.8070E-02
  0.3021E+00  0.9780E-02  0.1233E-02  0.8068E-02  0.8068E-02
  0.3035E+00  0.8049E-02  0.1209E-02  0.8062E-02  0.8062E-02
  0.3049E+00  0.7083E-02  0.1238E-02  0.8054E-02  0.8054E-02
  0.3063E+00  0.7218E-02  0.1293E-02  0.8042E-02  0.8042E-02
  0.3078E+00  0.9370E-02  0.1286E-02  0.8027E-02  0.8027E-02
  0.3092E+00  0.9717E-02  0.1255E-02  0.8009E-02  0.8009E-02
  0.3106E+00  0.9185E-02  0.1273E-02  0.7988E-02  0.7988E-02
  0.3121E+00  0.6709E-02  0.1254E-02  0.7964E-02  0.7964E-02
  0.3135E+00  0.7862E-02  0.1237E-02  0.7938E-02  0.7938E-02
  0.3149E+00  0.8570E-02  0.1263E-02  0.7909E-02  0.7909E-02
  0.3163E+00  0.8407E-02  0.1266E-02  0.7877E-02  0.7877E-02
  0.3178E+00  0.7588E-02  0.1239E-02  0.7843E-02  0.7843E-02
  0.3192E+00  0.8893E-02  0.1234E-02  0.7807E-02  0.7807E-02
  0.3206E+00  0.7710E-02  0.1273E-02  0.7769E-02  0.7769E-02
  0.3221E+00  0.7790E-02  0.1249E-02  0.7730E-02  0.7730E-02
  0.3235E+00  0.8897E-02  0.1246E-02  0.7689E-02  0.7689E-02
