# x and average y for the best solution found, chi=0.085562
#  q       exp_intensity   weighted_intensity
0.137740 11.400100 11.074746
0.138350 11.283300 10.918788
0.138950 10.668200 10.767099
0.139560 10.839600 10.616807
0.140170 10.476000 10.467946
0.140780 10.086400 10.321885
0.141390 10.073000 10.178607
0.142000 9.246990 10.036900
0.142600 9.178820 9.900587
0.143210 9.457590 9.763517
0.143820 9.433230 9.629334
0.144430 8.992990 9.497387
0.145030 8.929110 9.368712
0.145640 8.899340 9.241539
0.146250 8.786740 9.115653
0.146860 8.826490 8.991620
0.147470 9.001320 8.870374
0.148080 8.844950 8.750374
0.148680 8.215340 8.635049
0.149290 8.002650 8.519285
0.149900 8.020050 8.405156
0.150510 7.780440 8.293464
0.151120 7.803480 8.182863
0.151720 7.644700 8.076534
0.152330 7.661000 7.969892
0.152940 7.652150 7.864489
0.153550 7.534800 7.761876
0.154160 7.349250 7.660214
0.154770 7.313800 7.560371
0.155370 7.116110 7.463647
0.155980 7.127370 7.366246
0.156590 7.295240 7.271426
0.157200 7.062630 7.177469
0.157810 7.085240 7.085103
0.158410 6.679700 6.995893
0.159020 6.810250 6.906036
0.159630 6.669720 6.818082
0.160240 6.731600 6.731156
0.160840 6.237740 6.647213
0.161450 6.303290 6.563189
0.162060 6.113980 6.479845
0.162670 6.155050 6.398448
0.163280 6.122610 6.318048
0.163890 5.949120 6.238822
0.164490 6.078720 6.162071
0.165100 5.690970 6.084690
0.165710 5.689060 6.009252
0.166320 5.572800 5.934745
0.166930 5.572690 5.861081
0.167530 5.617430 5.789778
0.168140 5.644670 5.717936
0.168750 5.645450 5.647758
0.169360 5.241950 5.578444
0.169970 5.505750 5.509731
0.170570 5.345040 5.443582
0.171180 5.157360 5.376939
0.171790 5.020800 5.311565
0.172400 5.038290 5.247090
0.173010 4.961080 5.183110
0.173610 5.423400 5.121579
0.174220 5.344990 5.059620
0.174830 5.412920 4.998721
0.175440 5.145260 4.938715
0.176050 5.403310 4.879171
0.176660 4.969660 4.820943
0.177260 4.770890 4.764264
0.177870 4.854240 4.707432
0.178480 4.694710 4.651597
0.179090 4.431880 4.596245
0.179690 4.677380 4.542997
0.180300 4.754040 4.489349
0.180910 4.826510 4.436205
0.181520 4.826490 4.384328
0.182130 4.569920 4.332936
0.182740 4.563480 4.282526
0.183340 4.429110 4.233468
0.183950 4.315730 4.184002
0.184560 4.043990 4.135779
0.185170 3.866600 4.087996
0.185780 3.985430 4.041061
0.186380 4.049430 3.995524
0.186990 3.639620 3.949598
0.187600 3.669470 3.904738
0.188210 3.534800 3.860295
0.188820 3.657420 3.816616
0.189420 3.510040 3.774354
0.190030 3.707650 3.731743
0.190640 3.591480 3.690083
0.191250 4.061490 3.648805
0.191860 3.750010 3.608075
0.192460 3.806370 3.568863
0.193070 3.615280 3.529346
0.193680 3.482320 3.490490
0.194290 3.497580 3.452154
0.194900 3.768170 3.414391
0.195510 3.282550 3.377297
0.196110 3.002570 3.341099
0.196720 2.931780 3.305017
0.197330 2.989150 3.269410
0.197940 2.528010 3.234207
0.198540 3.062170 3.200374
0.199150 3.127060 3.166239
0.199760 2.860800 3.132629
0.200370 2.836930 3.099500
0.200980 2.766770 3.066683
0.201580 2.922500 3.035184
0.202190 2.847930 3.003424
0.202800 3.095830 2.972185
0.203410 3.107220 2.941385
0.204020 2.837820 2.910818
0.204630 2.868190 2.880831
0.205230 3.024940 2.851633
0.205840 2.905210 2.822436
0.206450 3.060730 2.793732
0.207060 2.933760 2.765262
0.207670 2.851460 2.737339
0.208270 2.801750 2.710137
0.208880 2.791240 2.682810
0.209490 2.548550 2.655891
0.210100 2.787110 2.629186
0.210710 2.697510 2.603061
0.211310 2.882830 2.577642
0.211920 2.376380 2.552064
0.212530 2.317240 2.526901
0.213140 2.342280 2.501938
0.213750 2.364310 2.477433
0.214350 2.465930 2.453643
