  53	127.0.0.1	2012-10-28
  53	127.0.0.1	2012-10-31
  54	127.0.0.1	2012-11-05
  69	131.243.85.161	2013-03-22
  69	66.249.74.79	2013-03-23
  73	66.249.74.79	2013-03-23
  27	208.115.113.91	2013-03-23
  63	66.249.74.79	2013-03-23
  25	208.115.113.91	2013-03-23
  48	208.115.111.75	2013-03-23
  16	66.249.74.79	2013-03-23
  72	173.192.235.226	2013-03-23
  71	173.192.235.226	2013-03-23
  70	173.192.235.226	2013-03-23
  69	173.192.235.226	2013-03-23
  68	173.192.235.226	2013-03-23
  42	173.192.235.226	2013-03-23
  44	208.115.111.75	2013-03-23
  71	180.76.5.184	2013-03-23
  70	66.249.74.79	2013-03-24
  46	208.115.111.75	2013-03-24
  75	66.249.74.58	2013-03-24
  19	208.115.113.91	2013-03-24
  11	208.115.111.75	2013-03-24
  40	208.115.111.75	2013-03-24
  55	208.115.113.91	2013-03-24
  75	66.249.74.58	2013-03-24
  42	208.115.111.75	2013-03-24
  57	208.115.113.91	2013-03-24
  51	208.115.113.91	2013-03-24
  19	95.96.224.110	2013-03-24
  30	95.96.224.110	2013-03-24
  31	95.96.224.110	2013-03-24
  34	95.96.224.110	2013-03-24
  36	95.96.224.110	2013-03-24
   6	95.96.224.110	2013-03-24
  53	208.115.113.91	2013-03-24
  11	208.115.113.91	2013-03-24
  39	208.115.111.75	2013-03-24
  72	180.76.5.157	2013-03-25
  19	208.115.111.75	2013-03-25
  20	173.199.115.3	2013-03-25
  18	188.165.248.204	2013-03-25
  20	188.165.248.204	2013-03-25
  43	173.199.115.3	2013-03-25
  59	208.115.113.91	2013-03-25
  17	208.115.113.91	2013-03-25
  18	173.199.115.3	2013-03-25
  42	5.9.36.119	2013-03-25
  71	5.9.36.119	2013-03-25
  73	5.9.36.119	2013-03-25
  72	5.9.36.119	2013-03-25
  75	5.9.36.119	2013-03-25
  40	129.22.226.71	2013-03-25
  31	208.115.111.75	2013-03-25
  46	173.199.115.3	2013-03-25
  33	173.199.115.3	2013-03-25
  32	173.199.115.3	2013-03-25
  34	173.199.115.3	2013-03-25
  54	66.249.74.79	2013-03-25
   2	101.226.167.221	2013-03-25
  27	101.226.167.215	2013-03-25
  25	101.226.167.217	2013-03-25
  71	208.115.111.75	2013-03-25
  33	208.115.111.75	2013-03-25
  38	101.226.166.247	2013-03-25
  45	101.226.166.248	2013-03-25
  35	101.226.166.243	2013-03-25
  34	101.226.166.250	2013-03-25
  32	101.226.166.250	2013-03-25
  28	101.226.166.247	2013-03-25
   3	101.226.166.246	2013-03-25
  49	66.249.74.79	2013-03-25
  29	66.249.74.58	2013-03-25
   3	173.199.115.3	2013-03-25
  36	173.199.115.3	2013-03-25
  73	5.9.7.208	2013-03-26
  54	66.249.74.79	2013-03-26
  72	208.115.113.91	2013-03-26
  73	46.165.197.151	2013-03-26
  44	66.249.74.79	2013-03-26
  35	208.115.111.75	2013-03-26
  29	101.226.167.247	2013-03-26
  30	101.226.167.254	2013-03-26
  31	101.226.167.251	2013-03-26
  35	101.226.167.253	2013-03-26
  38	101.226.167.252	2013-03-26
  32	101.226.167.248	2013-03-26
  39	101.226.167.252	2013-03-26
  42	101.226.167.251	2013-03-26
  43	101.226.167.254	2013-03-26
  45	101.226.167.253	2013-03-26
  46	101.226.168.203	2013-03-26
  70	208.115.113.91	2013-03-26
   7	173.199.115.3	2013-03-26
  54	66.249.74.79	2013-03-26
  60	180.76.5.24	2013-03-26
  38	173.199.115.3	2013-03-26
  27	208.115.113.91	2013-03-26
  54	66.249.74.79	2013-03-26
  25	208.115.113.91	2013-03-26
  45	173.199.115.3	2013-03-26
  53	173.199.115.3	2013-03-26
  45	208.115.111.75	2013-03-26
  30	101.226.166.207	2013-03-26
  29	208.115.113.91	2013-03-27
  47	208.115.111.75	2013-03-27
  20	64.134.236.253	2013-03-27
  20	129.22.226.71	2013-03-27
  20	129.22.226.71	2013-03-27
  20	129.22.226.71	2013-03-27
   8	208.115.111.75	2013-03-27
   3	182.118.22.205	2013-03-27
  25	182.118.22.204	2013-03-27
  18	182.118.20.168	2013-03-27
  44	182.118.22.205	2013-03-27
