CYCLE:   7 Chi:   0.994 GENER.: 1000 ENSEMBLES:  50 CURVES:   2 MAX_MUT.:  1 CROSS:   2
CYCLE:   1 Chi-total:   1.090
CYCLE:   2 Chi-total:   1.142
CYCLE:   3 Chi-total:   1.100
CYCLE:   4 Chi-total:   1.145
CYCLE:   5 Chi-total:   1.152
CYCLE:   6 Chi-total:   1.157
CYCLE:   7 Chi-total:   0.994
CYCLE:   8 Chi-total:   1.145
CYCLE:   9 Chi-total:   1.176
CYCLE:  10 Chi-total:   1.122
CYCLE:  11 Chi-total:   1.157
CYCLE:  12 Chi-total:   1.176
CYCLE:  13 Chi-total:   1.171
CYCLE:  14 Chi-total:   1.157
CYCLE:  15 Chi-total:   1.164
CYCLE:  16 Chi-total:   1.145
CYCLE:  17 Chi-total:   1.142
CYCLE:  18 Chi-total:   0.994
CYCLE:  19 Chi-total:   1.176
CYCLE:  20 Chi-total:   1.164
CYCLE:  21 Chi-total:   1.171
CYCLE:  22 Chi-total:   1.100
CYCLE:  23 Chi-total:   1.174
CYCLE:  24 Chi-total:   1.145
CYCLE:  25 Chi-total:   1.090
CYCLE:  26 Chi-total:   1.100
CYCLE:  27 Chi-total:   1.090
CYCLE:  28 Chi-total:   1.194
CYCLE:  29 Chi-total:   1.090
CYCLE:  30 Chi-total:   1.142
CYCLE:  31 Chi-total:   1.100
CYCLE:  32 Chi-total:   1.176
CYCLE:  33 Chi-total:   1.163
CYCLE:  34 Chi-total:   1.157
CYCLE:  35 Chi-total:   1.090
CYCLE:  36 Chi-total:   1.090
CYCLE:  37 Chi-total:   1.090
CYCLE:  38 Chi-total:   1.100
CYCLE:  39 Chi-total:   1.244
CYCLE:  40 Chi-total:   1.158
CYCLE:  41 Chi-total:   1.171
CYCLE:  42 Chi-total:   1.090
CYCLE:  43 Chi-total:   1.100
CYCLE:  44 Chi-total:   1.090
CYCLE:  45 Chi-total:   1.090
CYCLE:  46 Chi-total:   1.090
CYCLE:  47 Chi-total:   1.090
CYCLE:  48 Chi-total:   1.100
CYCLE:  49 Chi-total:   1.145
CYCLE:  50 Chi-total:   1.176
  0.161150E-01  0.151793E+03  0.144527E+03
