# SAXS profile: number of points = 511, q_min = 0.012467, q_max = 0.322547, delta_q = 0.000608
# offset = 0.00000000000000, scaling c = 4.11617164374988e-05, Chi = 4.48958827903763
#  q       exp_intensity   model_intensity
0.11643    16.17150000     15.77992095    
0.11704    15.85530000     15.31127799    
0.11765    15.61050000     14.87495196    
0.11826    15.16280000     14.45132316    
0.11887    15.01030000     14.04480440    
0.11947    14.16680000     13.66156409    
0.12008    14.05080000     13.28894188    
0.12069    13.47510000     12.94225419    
0.12130    13.27880000     12.60785327    
0.12191    12.92290000     12.28615051    
0.12251    12.62490000     11.98701140    
0.12312    12.59220000     11.69643526    
0.12373    12.29250000     11.42355703    
0.12434    11.89860000     11.16378359    
0.12495    11.72670000     10.91440934    
0.12555    11.33820000     10.68298193    
0.12616    11.29570000     10.45877142    
0.12677    11.31620000     10.24958473    
0.12738    11.23970000     10.05094794    
0.12799    11.02000000     9.85868590     
0.12859    10.71090000     9.68400612     
0.12920    10.44680000     9.51455523     
0.12981    10.28920000     9.35476999     
0.13042    10.21860000     9.20559021     
0.13103    10.16780000     9.06173588     
0.13164    9.83781000      8.92953408     
0.13224    10.07400000     8.80262967     
0.13285    9.79305000      8.68368260     
0.13346    9.76042000      8.57233145     
0.13407    9.44335000      8.46466622     
0.13467    9.38989000      8.36685308     
0.13528    9.48494000      8.27286929     
0.13589    9.22022000      8.18328335     
0.13650    9.28082000      8.10116369     
0.13711    9.21158000      8.02181656     
0.13772    9.05302000      7.94781459     
0.13832    8.87782000      7.87777406     
0.13893    8.72831000      7.81122907     
0.13954    8.90175000      7.74903435     
0.14015    8.53950000      7.68882813     
0.14075    8.70476000      7.63311160     
0.14136    8.75321000      7.57948638     
0.14197    8.60609000      7.52727270     
0.14258    8.80905000      7.47939288     
0.14319    8.55311000      7.43243838     
0.14380    8.71329000      7.38707835     
0.14440    8.58343000      7.34396156     
0.14501    8.47010000      7.30200979     
0.14562    8.52255000      7.26135373     
0.14623    8.51026000      7.22157391     
0.14683    8.60395000      7.18326483     
0.14744    8.39688000      7.14523135     
0.14805    8.24862000      7.10742119     
0.14866    8.39703000      7.07092909     
0.14927    8.15494000      7.03429738     
0.14988    8.22734000      6.99748737     
0.15048    8.21014000      6.96128780     
0.15109    8.16055000      6.92511773     
0.15170    8.08424000      6.88821751     
0.15231    8.24103000      6.85137814     
0.15291    8.03081000      6.81459843     
0.15352    8.23074000      6.77717317     
0.15413    7.82121000      6.73929207     
0.15474    7.89972000      6.70013318     
0.15535    7.66210000      6.66073660     
0.15596    7.81959000      6.62116124     
0.15656    7.78060000      6.57980986     
0.15717    7.70268000      6.53810543     
0.15778    7.70326000      6.49586156     
0.15839    7.64966000      6.45226206     
0.15899    7.57935000      6.40788837     
0.15960    7.55276000      6.36264784     
0.16021    7.75796000      6.31687680     
0.16082    7.48851000      6.27012108     
0.16143    7.56426000      6.22168422     
0.16204    7.51288000      6.17248003     
0.16264    7.31383000      6.12238040     
0.16325    7.36925000      6.07133233     
0.16386    7.09871000      6.01893522     
0.16447    7.02103000      5.96581514     
0.16507    7.19233000      5.91228537     
0.16568    6.98834000      5.85739526     
0.16629    7.01970000      5.80144498     
0.16690    6.83429000      5.74433975     
0.16751    6.57451000      5.68648521     
0.16811    6.87374000      5.62824208     
0.16872    6.71278000      5.56897298     
0.16933    6.59363000      5.50862988     
0.16994    6.45065000      5.44738796     
0.17055    6.39757000      5.38560095     
0.17116    6.33154000      5.32331833     
0.17176    6.37029000      5.25976484     
0.17237    6.25951000      5.19598193     
0.17298    5.94840000      5.13205246     
0.17359    6.07906000      5.06724294     
0.17419    5.91342000      5.00198429     
0.17480    5.61632000      4.93584106     
0.17541    5.66571000      4.86958300     
0.17602    5.69624000      4.80325648     
0.17663    5.77580000      4.73651424     
0.17724    5.90517000      4.66938402     
0.17784    5.93491000      4.60163794     
0.17845    5.55791000      4.53415048     
0.17906    5.40559000      4.46674024     
0.17967    5.21867000      4.39921061     
0.18027    5.13146000      4.33149451     
0.18088    4.96206000      4.26355261     
0.18149    4.90708000      4.19597800     
0.18210    4.99887000      4.12855020     
0.18271    4.51038000      4.06142722     
0.18332    4.78871000      3.99426649     
0.18392    4.57341000      3.92707065     
0.18453    4.63511000      3.86071929     
0.18514    4.39810000      3.79463922     
0.18575    4.35514000      3.72906127     
0.18635    4.14424000      3.66367117     
0.18696    4.24592000      3.59841495     
0.18757    3.94083000      3.53435020     
0.18818    4.09498000      3.47067799     
0.18879    3.99631000      3.40776149     
0.18940    3.89614000      3.34521699     
0.19000    3.86350000      3.28288179     
0.19061    3.78047000      3.22230425     
0.19122    3.73987000      3.16212733     
0.19183    3.74396000      3.10266205     
0.19243    3.55880000      3.04428139     
0.19304    3.66014000      2.98640117     
0.19365    3.78502000      2.92942878     
0.19426    3.41702000      2.87330262     
0.19487    3.40150000      2.81831681     
0.19548    3.30067000      2.76454045     
0.19608    3.29570000      2.71129486     
0.19669    2.99782000      2.65926439     
0.19730    3.24417000      2.60822448     
0.19791    3.08524000      2.55820832     
0.19851    3.19847000      2.50976814     
0.19912    2.98849000      2.46196631     
0.19973    2.80753000      2.41555932     
0.20034    2.87239000      2.37007421     
0.20095    2.79530000      2.32532068     
0.20156    2.71157000      2.28255860     
0.20216    2.65463000      2.24051491     
0.20277    2.61620000      2.19991333     
0.20338    2.53792000      2.16051154     
0.20399    2.71431000      2.12183474     
0.20459    2.46416000      2.08490116     
0.20520    2.52241000      2.04872840     
0.20581    2.51331000      2.01399762     
0.20642    2.60048000      1.98068993     
0.20703    2.21851000      1.94811120     
0.20763    2.21690000      1.91740511     
0.20824    2.21744000      1.88743665     
0.20885    2.06372000      1.85857623     
0.20946    2.00299000      1.83130741     
0.21007    1.90530000      1.80477557     
0.21068    1.83476000      1.78002264     
0.21128    1.75944000      1.75616447     
